trt	ano	mes	recebidos
9	2005	1	1692
10	2005	1	1120
11	2005	1	523
12	2005	1	1024
13	2005	1	419
14	2005	1	133
15	2005	1	4097
16	2005	1	360
17	2005	1	521
18	2005	1	549
19	2005	1	329
20	2005	1	203
21	2005	1	221
22	2005	1	146
23	2005	1	286
24	2005	1	200
1	2005	2	4630
2	2005	2	6982
3	2005	2	3642
4	2005	2	2546
5	2005	2	1531
6	2005	2	839
7	2005	2	464
8	2005	2	566
9	2005	2	2004
10	2005	2	1058
11	2005	2	459
12	2005	2	1098
13	2005	2	422
14	2005	2	119
15	2005	2	4180
16	2005	2	377
17	2005	2	749
18	2005	2	630
19	2005	2	309
20	2005	2	265
21	2005	2	294
22	2005	2	170
23	2005	2	421
24	2005	2	345
1	2005	3	5375
2	2005	3	8879
3	2005	3	4328
4	2005	3	3655
5	2005	3	2675
6	2005	3	1264
7	2005	3	380
8	2005	3	743
9	2005	3	2500
10	2005	3	1247
11	2005	3	587
12	2005	3	1265
13	2005	3	512
14	2005	3	125
15	2005	3	5552
16	2005	3	405
17	2005	3	1020
18	2005	3	675
19	2005	3	517
20	2005	3	274
21	2005	3	466
22	2005	3	378
23	2005	3	587
24	2005	3	325
1	2005	4	5106
2	2005	4	8956
3	2005	4	4151
4	2005	4	4184
5	2005	4	3261
6	2005	4	1327
7	2005	4	607
8	2005	4	758
9	2005	4	2617
10	2005	4	1423
11	2005	4	427
12	2005	4	1485
13	2005	4	594
14	2005	4	180
15	2005	4	5177
16	2005	4	460
17	2005	4	873
18	2005	4	863
19	2005	4	374
20	2005	4	300
21	2005	4	369
22	2005	4	140
23	2005	4	668
24	2005	4	355
1	2005	5	12066
2	2005	5	9380
3	2005	5	4633
4	2005	5	4572
5	2005	5	2904
6	2005	5	1481
7	2005	5	475
8	2005	5	827
9	2005	5	3243
10	2005	5	1381
11	2005	5	579
12	2005	5	1377
13	2005	5	712
14	2005	5	202
15	2005	5	6223
16	2005	5	634
17	2005	5	900
18	2005	5	809
19	2005	5	579
20	2005	5	367
21	2005	5	656
22	2005	5	366
23	2005	5	477
24	2005	5	321
1	2005	6	4262
2	2005	6	9989
3	2005	6	4694
4	2005	6	4880
5	2005	6	2561
6	2005	6	1359
7	2005	6	750
8	2005	6	936
9	2005	6	3455
